bestd12;kvotient;halvaar;eksald;kvinde;matB;matM;sproglig;HF;HHX;HTX;udland;GIF
0;7,900000095;1;1;0;0;0;0;0;0;0;0;0
0;7,5;1;0;1;0;0;0;0;0;0;0;0
1;7,900000095;1;2;1;0;0;0;0;0;0;0;0
0;7,5;1;14;0;0;1;0;0;0;0;0;0
0;6,900000095;1;16;0;0;0;0;0;0;0;0;0
0;7,300000191;1;1;0;0;0;0;0;0;0;0;0
0;7,800000191;0;3;0;0;0;0;0;0;0;0;0
1;6,900000095;0;3;0;0;0;0;0;0;0;0;0
0;7,5;1;3;0;0;1;0;0;0;0;0;0
0;7,699999809;1;1;0;0;0;0;0;0;0;0;0
0;7,800000191;0;3;0;0;0;0;0;0;0;0;0
0;7,699999809;1;1;0;0;0;0;0;1;0;0;0
0;7,800000191;1;1;1;0;0;0;0;0;0;0;0
0;6,900000095;1;0;0;0;0;0;0;1;0;0;0
1;7,5;0;2;0;1;0;0;0;0;0;0;0
0;7,199999809;1;1;0;0;0;0;0;0;0;0;0
0;6,900000095;1;2;0;0;0;0;0;1;0;0;0
1;7,599999905;1;1;0;0;0;0;0;0;0;0;0
0;6,900000095;1;2;1;0;0;0;0;0;1;0;0
0;7,099999905;1;2;0;0;0;0;0;0;1;0;0
0;7,099999905;1;2;1;0;0;0;0;0;0;0;0
0;7,800000191;1;1;0;0;0;0;0;1;0;0;0
0;6,900000095;1;0;1;1;0;0;0;0;0;0;0
0;6,900000095;0;3;1;0;0;0;1;0;0;0;0
0;7,400000095;1;5;1;0;1;0;0;0;0;0;0
1;7,800000191;1;3;0;0;0;0;0;1;0;0;0
0;6,900000095;1;1;0;0;0;0;1;0;0;0;0
0;6,900000095;1;1;1;0;0;0;1;0;0;0;0
0;7,099999905;1;2;0;0;0;0;0;0;0;0;0
0;7,699999809;0;19;1;0;0;0;0;0;0;0;0
0;7,699999809;1;2;0;0;0;0;0;0;0;0;0
0;7,300000191;1;22;1;0;1;0;0;0;0;0;0
0;7,599999905;1;1;0;0;0;0;0;0;0;0;0
0;7,199999809;0;3;0;0;0;0;0;0;0;0;0
0;7,5;1;0;0;0;0;0;0;0;0;1;0
0;6,900000095;1;0;1;0;0;0;1;0;0;0;0
1;7,800000191;0;2;0;0;0;0;0;0;1;0;0
0;6,900000095;1;0;1;0;0;0;0;0;0;0;1
0;7,099999905;1;0;1;0;1;0;0;0;0;0;0
0;6,900000095;0;14;0;1;0;0;0;0;0;0;0
0;7,800000191;1;2;1;1;0;0;0;0;0;0;0
0;7,800000191;0;3;0;0;0;0;0;1;0;0;0
0;6,900000095;1;2;1;0;0;0;0;0;0;0;0
0;7;1;3;0;0;0;0;0;0;1;0;0
0;7,199999809;1;1;1;0;1;0;0;0;0;0;0
0;7,699999809;1;2;0;0;0;0;0;0;0;0;0
1;7,5;1;0;0;0;0;0;0;1;0;0;0
1;7,900000095;1;2;0;0;0;0;0;0;0;0;0
0;7,5;0;1;0;0;0;0;0;0;0;0;1
0;7,900000095;1;2;1;0;0;0;0;0;0;0;0
0;7,900000095;1;2;0;0;0;1;0;0;0;0;0
1;7,800000191;1;1;1;0;0;0;0;0;0;0;0
0;6,900000095;1;1;0;0;0;0;1;0;0;0;0
0;7,800000191;1;3;0;0;0;0;0;0;0;0;0
1;7,900000095;1;2;0;0;0;0;0;1;0;0;0
0;7,599999905;1;3;0;0;0;0;1;0;0;0;0
0;7,5;1;0;0;0;0;0;0;0;0;0;0
0;7,599999905;1;2;1;0;0;0;1;0;0;0;0
0;7,699999809;1;2;0;0;0;0;0;0;0;0;0
0;7,800000191;1;1;0;1;0;0;0;0;0;0;0
1;7,900000095;1;1;1;0;0;0;0;0;0;0;0
0;7,800000191;1;0;0;1;0;0;0;0;0;0;0
0;7,900000095;1;13;1;0;0;1;0;0;0;0;0
0;6,900000095;1;3;0;0;0;0;0;0;0;0;0
0;6,900000095;0;2;0;0;0;0;0;0;0;0;0
0;7,800000191;1;3;0;0;0;0;0;1;0;0;0
0;7,599999905;1;0;0;0;1;0;0;0;0;0;0
0;6,900000095;1;5;0;0;0;0;1;0;0;0;0
0;7,300000191;1;16;0;1;0;0;0;0;0;0;0
0;7,199999809;1;1;0;1;0;0;0;0;0;0;0
0;7,800000191;1;0;0;0;0;0;0;0;0;0;0
1;7,699999809;1;9;0;0;0;0;0;1;0;0;0
1;7,900000095;1;1;0;0;0;0;0;0;0;1;0
1;7,400000095;0;1;1;0;0;0;0;0;0;0;0
0;7,900000095;1;0;1;0;1;0;0;0;0;0;0
0;7,5;1;2;0;1;0;0;0;0;0;0;0
0;6,900000095;0;1;1;0;0;0;1;0;0;0;0
1;7,300000191;1;2;0;0;0;0;1;0;0;0;0
0;7,699999809;1;1;0;1;0;0;0;0;0;0;0
0;7,300000191;1;2;0;0;0;0;0;0;1;0;0
0;7,900000095;0;1;1;0;0;1;0;0;0;0;0
0;6,900000095;1;6;0;0;1;0;0;0;0;0;0
1;6,900000095;1;2;1;1;0;0;0;0;0;0;0
0;7,900000095;1;2;0;0;0;0;0;1;0;0;0
0;7,599999905;1;0;0;0;0;0;0;0;0;0;0
0;7,599999905;1;0;0;0;0;0;0;1;0;0;0
0;7,699999809;0;8;0;1;0;0;0;0;0;0;0
0;6,900000095;1;2;0;1;0;0;0;0;0;0;0
0;7,800000191;1;2;0;0;1;0;0;0;0;0;0
0;7,5;1;0;0;0;0;0;0;0;0;0;0
0;7,800000191;1;0;0;0;1;0;0;0;0;0;0
0;7,800000191;1;0;1;0;0;0;0;1;0;0;0
0;6,900000095;1;0;0;0;0;0;1;0;0;0;0
1;7,5;1;1;0;0;0;0;0;0;0;0;0
0;7,800000191;1;0;0;1;0;0;0;0;0;0;0
0;6,900000095;1;3;0;0;1;0;0;0;0;0;0
1;7,099999905;1;12;0;0;1;0;0;0;0;0;0
0;7,900000095;0;2;1;0;0;0;1;0;0;0;0
0;7;1;0;0;0;0;0;1;0;0;0;0
0;6,900000095;0;2;0;0;0;0;0;1;0;0;0
0;6,900000095;1;2;0;1;0;0;0;0;0;0;0
0;7,300000191;0;2;0;0;0;0;0;0;0;0;0
0;7,900000095;0;2;1;0;0;0;1;0;0;0;0
0;6,900000095;1;0;0;0;1;0;0;0;0;0;0
